Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestListener_MakeAppointment_002,Chrome 120.0.0.0,,,2024-01-20 16:13:57,2024-01-20 16:14:19,21.804s,PASSED
,,,,,,,
Test Cases/CURA_Health_Services/TC_CHS_MAKEAppointment_002,Chrome 120.0.0.0,,,2024-01-20 16:14:07,2024-01-20 16:14:19,12.177s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,2024-01-20 16:14:07,2024-01-20 16:14:10,3.206s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,2024-01-20 16:14:10,2024-01-20 16:14:10,0.002s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,2024-01-20 16:14:10,2024-01-20 16:14:10,0.001s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CURAHealthcareService_MAKEAppointment_OR_002/Page_CURA Healthcare Service/Facility""), ""Hongkong CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,2024-01-20 16:14:11,2024-01-20 16:14:12,1.480s,PASSED
"click(findTestObject(""CURA_HS_All_Buttons_OR/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospital_readmission""))",Chrome 120.0.0.0,,,2024-01-20 16:14:12,2024-01-20 16:14:13,0.501s,PASSED
"check(findTestObject(""CURA_HS_All_Buttons_OR/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 120.0.0.0,,,2024-01-20 16:14:13,2024-01-20 16:14:13,0.575s,PASSED
"setText(findTestObject(""CURA_HS_All_Buttons_OR/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""), ""29/01/2024"")",Chrome 120.0.0.0,,,2024-01-20 16:14:13,2024-01-20 16:14:14,1.013s,PASSED
"setText(findTestObject(""CURA_HS_All_Buttons_OR/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Hello Doctor"")",Chrome 120.0.0.0,,,2024-01-20 16:14:14,2024-01-20 16:14:15,0.962s,PASSED
"click(findTestObject(""Object Repository/CURAHealthcareService_MAKEAppointment_OR_002/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,2024-01-20 16:14:15,2024-01-20 16:14:17,1.905s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,2024-01-20 16:14:17,2024-01-20 16:14:19,1.721s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,2024-01-20 16:14:19,2024-01-20 16:14:19,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,2024-01-20 16:14:19,2024-01-20 16:14:19,0.000s,PASSED
