Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestListener_MakeAppointment_002,Chrome 120.0.0.0,,,2024-01-18 12:36:46,2024-01-18 12:37:08,22.051s,PASSED
,,,,,,,
Test Cases/CURA_Health_Services/TC_CHS_MAKEAppointment_002,Chrome 120.0.0.0,,,2024-01-18 12:36:55,2024-01-18 12:37:08,12.450s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,2024-01-18 12:36:55,2024-01-18 12:36:59,3.552s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,2024-01-18 12:36:59,2024-01-18 12:36:59,0.002s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,2024-01-18 12:36:59,2024-01-18 12:36:59,0.000s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CURAHealthcareService_MAKEAppointment_OR_002/Page_CURA Healthcare Service/Facility""), ""Hongkong CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,2024-01-18 12:37:00,2024-01-18 12:37:01,1.462s,PASSED
"click(findTestObject(""CURA_HS_All_Buttons_OR/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospital_readmission""))",Chrome 120.0.0.0,,,2024-01-18 12:37:01,2024-01-18 12:37:02,0.541s,PASSED
"check(findTestObject(""CURA_HS_All_Buttons_OR/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 120.0.0.0,,,2024-01-18 12:37:02,2024-01-18 12:37:02,0.567s,PASSED
"setText(findTestObject(""CURA_HS_All_Buttons_OR/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""), ""29/01/2024"")",Chrome 120.0.0.0,,,2024-01-18 12:37:02,2024-01-18 12:37:03,0.954s,PASSED
"setText(findTestObject(""CURA_HS_All_Buttons_OR/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Hello Doctor"")",Chrome 120.0.0.0,,,2024-01-18 12:37:03,2024-01-18 12:37:04,0.972s,PASSED
"click(findTestObject(""Object Repository/CURAHealthcareService_MAKEAppointment_OR_002/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,2024-01-18 12:37:04,2024-01-18 12:37:06,1.747s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,2024-01-18 12:37:06,2024-01-18 12:37:08,1.753s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,2024-01-18 12:37:08,2024-01-18 12:37:08,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,2024-01-18 12:37:08,2024-01-18 12:37:08,0.000s,PASSED
